id,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Cluster12
45DuBzsgfiterhMTTsewpH,0.0,0.225,0.306,2.0,-16.153,0.0,0.0398,0.584,0.859,0.106,0.0537,92.732,18
5BH09YBjBBOjMsDCiZOv70,0.0,0.11,0.173,2.0,-17.673,0.0,0.0372,0.773,0.924,0.16,0.0518,86.427,5
2OqMBSytBzTHFXnEmKrmrF,0.0,0.267,0.405,5.0,-15.683,1.0,0.0605,0.377,0.848,0.163,0.21,96.454,18
3BFpYgwm0tCdI2S3LGZwUf,0.0,0.138,0.0302,4.0,-27.728,0.0,0.0428,0.883,0.918,0.251,0.0376,141.32,7
1u3nu8fNWFua6mQjw4ReEt,0.0,0.174,0.298,0.0,-15.017,0.0,0.033,0.783,0.953,0.14,0.133,89.962,5
4sLtmtKMmA5iCIa90tWhSe,0.0,0.143,0.174,9.0,-17.379,0.0,0.0354,0.772,0.925,0.091,0.0385,138.947,7
2WLufDgJx6QhqPiLWyOsHJ,0.0,0.31,0.45,5.0,-14.438,0.0,0.0479,0.41,0.748,0.0959,0.18,156.837,4
2xPbLfsLvlgaiS3ncWxgEu,0.0,0.0655,0.0122,1.0,-28.627,0.0,0.0386,0.865,0.954,0.116,0.0366,74.462,14
6N0cqmiMjeABuxJwf7RZma,0.0,0.223,0.406,8.0,-14.605,1.0,0.0417,0.525,0.913,0.245,0.124,155.522,4
1XWaewKXJh2BemQTerZdYI,0.0,0.0881,0.0103,2.0,-31.523,1.0,0.0464,0.0913,0.889,0.109,0.0321,85.536,22
3fzL0RuACZtv5cQ6R78Sjq,0.0,0.324,0.42,0.0,-14.413,1.0,0.0359,0.576,0.795,0.116,0.145,92.724,18
7E7lRhO18SHKnX3wzgp5kN,0.0,0.138,0.152,7.0,-15.867,0.0,0.0334,0.823,0.886,0.0963,0.0925,85.779,5
2nhakXS6IKRghj5lxe9pox,0.0,0.112,0.143,9.0,-17.012,0.0,0.0363,0.746,0.889,0.091,0.0365,78.619,5
4liOrw7OIc5zCxkFJiK2tJ,0.0,0.0879,0.128,11.0,-19.652,0.0,0.0382,0.566,0.932,0.109,0.0398,165.213,15
00sPWXrRQtyGn9BqoPbMCd,0.0,0.12,0.133,4.0,-18.955,0.0,0.0393,0.857,0.867,0.106,0.0616,73.94,23
2Tlv01jTgfA79TGMFrJx1O,0.0,0.0604,0.147,4.0,-18.954,1.0,0.0378,0.925,0.783,0.0744,0.0364,65.247,16
16vteDeKePbpJBUgDroiIJ,0.0,0.191,0.303,0.0,-14.137,1.0,0.0316,0.719,0.929,0.181,0.0901,91.164,18
7a9UUo3zfID7Ik2fTQjRLi,0.0,0.177,0.295,5.0,-14.581,1.0,0.061,0.39,0.591,0.0684,0.0825,83.409,5
69f4J5zQkPqzf9IZ36zNQL,0.0,0.184,0.0529,0.0,-22.879,1.0,0.0398,0.718,0.839,0.117,0.0463,78.481,5
5wHev6skr9cndexgt70Ez6,0.0,0.235,0.0518,2.0,-28.472,0.0,0.0406,0.858,0.821,0.254,0.131,176.718,15
3pJLKix3d24kLmWbVwWmt2,0.0,0.241,0.289,5.0,-17.797,1.0,0.04,0.449,0.817,0.158,0.0875,74.176,23
2bw4WgXyXP90hIex7ur58y,0.0,0.577,0.379,7.0,-13.82,0.0,0.0368,0.753,0.955,0.126,0.284,103.112,18
3SJalt7jrTvWnaps4CZp8h,0.0,0.212,0.237,2.0,-16.59,1.0,0.0423,0.776,0.879,0.0998,0.0393,138.904,7
5cEhagdSGrYJLOaZ1hvM9A,0.0,0.156,0.0229,11.0,-25.37,0.0,0.0368,0.391,0.887,0.0946,0.035,81.895,22
4ERdD8UDCFMoF35uQVh9Mc,0.0,0.312,0.29,0.0,-20.294,1.0,0.0543,0.623,0.901,0.0736,0.149,93.401,18
6quL0XEmUeHqbXTStEXCJx,0.0,0.248,0.547,0.0,-13.829,1.0,0.0427,0.536,0.889,0.0941,0.278,87.15,5
6yj7fSEuePRyaYO5gIbGSx,0.0,0.31,0.379,5.0,-14.322,1.0,0.0391,0.391,0.934,0.067,0.155,84.09,5
4mDrSbQKLmQlJ3sf19Hg6Q,0.0,0.101,0.043,5.0,-22.975,0.0,0.0414,0.861,0.617,0.504,0.0353,90.097,22
0Q9LIPNdjWUfK5uLwWmTSg,0.0,0.292,0.31,7.0,-15.322,1.0,0.0362,0.534,0.924,0.112,0.14,75.05,23
2BinLD35GaTzdedSskSDaS,0.0,0.161,0.0329,8.0,-26.827,1.0,0.0439,0.874,0.784,0.123,0.0368,109.129,10
4jD8NK5zYi5ejf3krMkYfP,0.0,0.156,0.369,7.0,-14.582,1.0,0.04,0.798,0.918,0.238,0.0723,79.677,5
3kqg0gYmuQZvqVZQvRG3Ni,0.0,0.17,0.114,3.0,-22.389,1.0,0.047,0.605,0.852,0.263,0.037,113.874,10
3brr6rNVPELXasP5gECcnG,0.0,0.178,0.0366,5.0,-24.736,1.0,0.0413,0.856,0.787,0.124,0.0375,129.282,19
27xA5HEUnWPBDo0z4hcDq1,0.0,0.22,0.263,0.0,-14.081,1.0,0.0338,0.559,0.897,0.371,0.122,105.105,18
2NyL3BnrZJXhQT32WFZJDc,0.0,0.11,0.233,10.0,-14.921,1.0,0.0381,0.628,0.81,0.146,0.0797,75.839,23
4I7uZnCpdzSZMu0Oz6ZzOS,0.0,0.43,0.363,7.0,-14.172,1.0,0.0606,0.827,0.885,0.108,0.225,125.577,19
1HhLogd8ljnRgXM8FlAR8o,0.0,0.17,0.0559,9.0,-21.059,1.0,0.0402,0.935,0.784,0.118,0.0348,92.436,22
6hjo60CtIi8eMyp8SNj5GD,0.0,0.451,0.238,5.0,-16.592,1.0,0.0425,0.881,0.897,0.109,0.221,118.495,19
1zTYnorGgmW46px3cMXFJy,0.0,0.12,0.0841,2.0,-21.961,1.0,0.0401,0.908,0.512,0.0743,0.036,79.399,5
0wWZsH3b3pc62r0Z5IAMpN,0.0,0.842,0.56,0.0,-14.574,1.0,0.0826,0.136,0.0863,0.09,0.73,131.306,1
3YE4sUxcxMztblbryEslaG,0.0,0.527,0.484,0.0,-13.324,0.0,0.0391,0.83,0.795,0.0956,0.3,79.356,5
5wL5AFeuzeoTtkUiJ5SVdD,0.0,0.145,0.181,0.0,-17.833,0.0,0.0442,0.76,0.656,0.102,0.0329,103.082,18
7GIrmKsto81NqfojCzICJ1,0.0,0.139,0.144,6.0,-16.415,0.0,0.0372,0.94,0.965,0.114,0.0368,141.973,7
3TDxntdbGLgwRpCuquaBb4,0.0,0.246,0.428,7.0,-12.771,1.0,0.0379,0.824,0.899,0.133,0.135,147.953,12
4f6pN7FdZ0RZiNGAAEyAux,0.0,0.392,0.395,0.0,-12.99,1.0,0.0727,0.792,0.797,0.223,0.325,125.081,21
0o9AEYW61Jb0dwmHlVhXk5,0.0,0.149,0.325,5.0,-11.935,1.0,0.0386,0.864,0.905,0.14,0.0385,86.161,5
2AJHEH475SPH3XckX6KyBI,0.0,0.153,0.0228,4.0,-24.612,0.0,0.0455,0.958,0.979,0.106,0.0379,136.888,7
7k6yvU97GVOgUgWdSfTggp,0.0,0.168,0.324,7.0,-11.854,1.0,0.0409,0.838,0.903,0.0963,0.0841,49.858,16
0Hicqz1K8PswE0Uijx5STA,0.0,0.067,0.0294,2.0,-25.92,0.0,0.036,0.95,0.367,0.381,0.0378,72.704,14
2L08hXR9EBGF1dY23FoifR,0.0,0.226,0.221,6.0,-13.375,1.0,0.0356,0.885,0.87,0.108,0.049,157.722,4
5wsHtmFHWntJzcN6n8ivjd,0.0,0.229,0.158,9.0,-16.595,0.0,0.0338,0.977,0.851,0.0814,0.13,100.987,18
73kJJ42uVT0eu1CseFBu7i,0.0,0.533,0.485,7.0,-10.946,0.0,0.0303,0.834,0.689,0.394,0.199,78.899,0
3O5GA5BWJVfvIBIO0ZLlV1,0.0,0.135,0.0345,3.0,-25.314,0.0,0.0369,0.942,0.945,0.3,0.0366,77.663,14
1RvQgGp79PAzA4qH9FoFyX,0.0,0.311,0.404,7.0,-12.693,1.0,0.0475,0.827,0.922,0.107,0.101,130.453,1
0pQaOmtNL5ChJfmpDoBqDl,0.0,0.154,0.0904,4.0,-21.957,0.0,0.0415,0.944,0.919,0.273,0.0375,135.408,7
4bElef2DtJhpp0M9dRLDPY,0.0,0.15,0.0122,2.0,-24.907,0.0,0.0428,0.965,0.879,0.0818,0.0317,76.718,14
3eR23VReFzcdmS7TYCrhCe,0.0,0.64,0.533,0.0,-6.596,1.0,0.0706,0.119,0.0,0.0864,0.515,99.968,3
7s41ZGjQB5Ur8T0fQlk5uM,0.0,0.388,0.744,6.0,-4.944,1.0,0.0461,0.0162,0.0,0.0762,0.33,169.784,8
58HfaJinOwdtvIusPS04Im,0.0,0.595,0.806,10.0,-6.593,1.0,0.0371,0.192,3.9e-06,0.241,0.313,108.018,20
198qSChSMQFuSimdeeY9gK,0.0,0.708,0.672,7.0,-5.538,1.0,0.0352,0.346,1.97e-05,0.382,0.963,134.635,11
14RjUwMQwgHs9lMUQszRSf,0.0,0.436,0.305,7.0,-11.119,1.0,0.0674,0.929,0.0,0.246,0.227,84.143,0
2kHRcJgR1rzVTQjS7dERze,0.0,0.556,0.9,9.0,-5.955,1.0,0.0423,0.000225,0.327,0.482,0.666,130.384,17
6s3GEN8wK0OMzzzZbXj0fu,0.0,0.565,0.849,0.0,-3.516,0.0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034,3
2sNvitW3TxiTeC9xT9f2ZZ,0.0,0.486,0.652,11.0,-7.226,0.0,0.052,0.408,6.63e-05,0.077,0.391,113.055,6
1vvNmPOiUuyCbgWmtc6yfm,0.0,0.819,0.913,4.0,-3.059,0.0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989,21
7HzCxalzzYQOFb9a7Xs3j6,0.0,0.678,0.783,7.0,-4.672,0.0,0.0828,0.0331,1.51e-05,0.134,0.679,102.0,20
5yFSF6qQA1rcLsQRnBsZgb,0.0,0.658,0.678,1.0,-4.407,1.0,0.058,0.303,0.0,0.361,0.662,97.976,3
5dyDkXi1bnQKSyIdO0JXp8,0.0,0.479,0.714,7.0,-3.776,0.0,0.109,0.025,0.0153,0.206,0.49,98.23,20
5FoYSQF0IaVwS6M9mlk6C4,0.0,0.432,0.874,7.0,-5.558,1.0,0.0462,0.0732,6.14e-06,0.371,0.374,103.85,20
0tICYNayWWhH9GPeFrfjfD,0.0,0.793,0.729,0.0,-4.77,0.0,0.0394,0.08,3.1e-05,0.317,0.488,121.972,21
6N7JMoaUYgo4pwPgsnSobr,0.0,0.422,0.208,10.0,-15.886,1.0,0.0318,0.896,0.0265,0.192,0.354,111.546,10
1mea3bSkSGXuIRvnydlB5b,0.0,0.485,0.619,5.0,-7.115,0.0,0.0289,0.0941,3.31e-06,0.109,0.416,138.017,11
6skC0VsaOZE1kG4CwXI2Zj,0.0,0.404,0.925,9.0,-7.336,1.0,0.041,1.39e-06,0.628,0.0418,0.773,134.177,11
6QgjcU0zLnzq5OrUoSZ3OK,0.0,0.801,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,0
7ef4DlsgrMEH11cDZd32M6,0.0,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,17
6K4t31amVTZDgR3sKmwUJJ,0.0,0.64,0.74,4.0,-4.083,1.0,0.0284,0.0115,0.00678,0.167,0.785,116.879,6
18SBcoduKfScNx5puAhYM2,0.0,0.533,0.718,4.0,-5.816,0.0,0.0318,0.728,0.0132,0.733,0.498,105.818,9
2dpaYNEQHiRxtZbfNsse99,0.0,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,20
1ShxNSFFxy1rSbnopgYpvx,0.0,0.63,0.564,6.0,-5.982,0.0,0.0553,0.0799,4.51e-06,0.108,0.35,138.136,11
7w87IxuO7BDcJ3YUqCyMTT,0.0,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,17
0E9ZjEAyAwOXZ7wJC0PD33,0.0,0.694,0.77,6.0,-5.335,1.0,0.149,0.176,1.1e-05,0.118,0.163,125.905,17
7A8caPxvrT8ZgLvQPPUCcj,0.0,0.527,0.418,4.0,-10.204,0.0,0.0277,0.142,0.775,0.139,0.218,129.516,1
3Pnhzf3Knhdsavx0VM2ZmG,0.0,0.654,0.81,4.0,-6.26,0.0,0.0288,0.00719,0.00251,0.165,0.661,114.623,6
25ayfrtkcSJfE93B8mnhRT,0.0,0.486,0.915,2.0,-4.04,1.0,0.0398,0.0342,0.0,0.0861,0.539,154.019,4
1fidCEsYlaVE3pHwKCvpFZ,0.0,0.725,0.68,8.0,-5.465,1.0,0.0306,0.162,2.13e-06,0.158,0.76,119.939,17
575NJxNUVDqwJGdzBrlLbv,0.0,0.694,0.852,7.0,-5.34,0.0,0.257,0.0882,0.0,0.334,0.377,107.178,9
7nnWIPM5hwE3DaUBkvOIpy,0.0,0.645,0.792,4.0,-7.34,0.0,0.036,0.0562,0.0121,0.119,0.666,90.565,13
61dCUoMCg28qEBzrW6htYM,0.0,0.799,0.586,11.0,-6.735,1.0,0.0377,0.162,2.03e-06,0.193,0.549,120.97,17
5afHIkEcVhCF1Z1CTqMUXB,0.0,0.768,0.567,2.0,-7.046,0.0,0.0312,0.66,0.000277,0.07,0.471,117.974,21
4X1LS2LEYxKdlvHq5oZesi,0.0,0.58,0.634,7.0,-11.058,1.0,0.0252,0.145,0.000984,0.329,0.935,97.919,18
5tyznRXlcIx0XlQ7S8iCMW,0.0,0.692,0.512,6.0,-8.596,1.0,0.0354,0.208,0.000994,0.077,0.739,79.003,0
2B62QB3qfZmsrFuaIJFOkX,0.0,0.389,0.56,4.0,-8.82,0.0,0.033,0.316,0.0,0.486,0.248,133.91,1
1eCie6lwjb4crxeAvkRaSi,0.0,0.555,0.275,0.0,-14.032,1.0,0.0653,0.759,0.0,0.104,0.592,163.431,8
6hs3SDnbO3f6VQuPO4KBEb,0.0,0.5,0.681,0.0,-9.556,1.0,0.0672,0.114,4.01e-05,0.139,0.745,119.46,21
6hLo5Dg74PGHjSbcP6tNOr,0.0,0.629,0.325,4.0,-8.83,1.0,0.0424,0.855,0.0,0.0742,0.447,119.029,21
5YyetAy34sgROhslaW3BZc,0.0,0.774,0.656,2.0,-4.215,1.0,0.0357,0.0978,0.0,0.0643,0.854,95.007,3
1djou52IdL1mVEE7gTauxo,0.0,0.693,0.823,4.0,-6.433,1.0,0.0292,0.0759,0.185,0.0574,0.949,93.923,3
5ETXBavoEIZcPVIVjeMP1E,0.0,0.734,0.679,11.0,-4.589,0.0,0.046,0.0591,0.0,0.0872,0.751,122.046,17
4dyx5SzxPPaD8xQIid5Wjj,0.0,0.699,0.812,0.0,-6.005,1.0,0.0377,0.0164,0.000763,0.105,0.662,138.185,1
1pKYYY0dkg23sQQXi0Q5zN,0.0,0.956,0.795,7.0,-5.311,1.0,0.15,0.00356,0.889,0.0906,0.841,121.294,17
1lHtE5JDCas1EwXhQIMOIj,0.0,0.447,0.668,4.0,-4.683,1.0,0.0294,0.0127,0.0,0.152,0.0695,82.904,0
3IR51sySuaLW1vPOwxVBUo,0.0,0.575,0.529,8.0,-7.31,0.0,0.0232,0.283,0.0,0.202,0.421,94.037,13
02woMWxtxB5Am7tfX6C6YC,0.0,0.549,0.651,5.0,-8.122,1.0,0.0265,0.0638,6.95e-05,0.0823,0.444,80.934,0
2vg16RThWkdrrohdk4wq25,0.0,0.797,0.804,10.0,-7.068,0.0,0.0599,0.132,0.0,0.107,0.819,104.065,20
1ZY1PqizIl78geGM4xWlEA,0.0,0.8,0.535,7.0,-6.684,1.0,0.135,0.0713,9.48e-06,0.213,0.451,92.027,13
1Ax3ybwNz6KBSRTyJzDkhI,0.0,0.538,0.638,8.0,-8.305,0.0,0.0288,0.14,0.0,0.689,0.289,127.949,17
7zKxoK67ddk6i4Oe0lhPh8,0.0,0.633,0.727,2.0,-6.998,1.0,0.0276,0.404,0.00158,0.319,0.524,129.981,1
4PpuZIMmeng6qPicveSI22,0.0,0.793,0.56,7.0,-8.922,0.0,0.0324,0.599,0.0,0.0952,0.862,123.011,17
7EWbEYuEDzr55hHtJZtonj,0.0,0.795,0.388,7.0,-9.219,1.0,0.0502,0.134,0.000748,0.664,0.909,95.984,13
6WiuIpuufnd80FpjA0ZCby,0.0,0.632,0.353,9.0,-8.492,0.0,0.0248,0.562,0.0,0.167,0.396,104.884,20
28UP90XhjCovLtieduYr9P,0.0,0.4,0.541,7.0,-4.527,1.0,0.0274,0.557,2.13e-05,0.136,0.268,99.343,20
728zbo72kOoYdGR3AhNsyF,0.0,0.627,0.721,0.0,-7.782,0.0,0.0304,0.296,6.41e-05,0.231,0.383,130.08,1
35qJhMte81VnD895Q6Hkt7,0.0,0.716,0.813,5.0,-3.426,0.0,0.0316,0.0506,0.0,0.0693,0.619,92.995,13
5oO3drDxtziYU2H1X23ZIp,0.0,0.503,0.632,4.0,-4.854,0.0,0.0492,0.0777,1.3e-05,0.0758,0.369,171.92,8
5z3U9tLxe0z3dLEK06FCUX,0.0,0.473,0.186,0.0,-12.751,1.0,0.0279,0.975,3.62e-05,0.295,0.25,101.921,18
5aGgKZBWzmuU8TTHhID8Yr,0.0,0.719,0.602,6.0,-7.566,1.0,0.0404,0.286,1.17e-06,0.115,0.432,96.998,3
3EK4tGkSiO5xvvB5sM4tln,0.0,0.563,0.674,5.0,-4.554,0.0,0.048,0.247,0.00226,0.107,0.784,179.977,2
2UzMpPKPhbcC8RbsmuURAZ,0.0,0.55,0.532,5.0,-7.591,1.0,0.032,0.174,0.000347,0.218,0.41,85.032,0
5CPqOpKSk0QcJ3dGdaWcRB,0.0,0.723,0.669,0.0,-6.784,1.0,0.0348,0.0522,0.192,0.109,0.35,125.051,21
4oR2kX5BI50GBnQGRdRRsM,0.0,0.656,0.781,8.0,-7.657,0.0,0.036,0.00661,7.57e-06,0.0926,0.478,130.28,17
3uYTPLErrFtAaI6MGfcIDb,0.0,0.512,0.588,8.0,-6.274,1.0,0.0269,0.00352,0.000309,0.213,0.141,91.88,13
6XQHlsNu6so4PdglFkJQRJ,0.0,0.492,0.116,2.0,-15.15,0.0,0.0379,0.899,1.93e-06,0.0889,0.434,111.787,10
6sy3LkhNFjJWlaeSMNwQ62,0.0,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.115,0.477,122.017,21
5ErcCfdGMmeqT2DCMCE4pB,0.0,0.59,0.115,2.0,-10.034,1.0,0.0385,0.968,0.0,0.0871,0.33,121.692,21
1rkxs4nktkwhVJjK3mnx9x,0.0,0.523,0.591,1.0,-8.772,1.0,0.0543,0.494,0.511,0.0788,0.195,173.94,8
5BMwpS4iYKR30kq9U9beaT,0.0,0.585,0.0809,6.0,-19.346,0.0,0.0523,0.954,0.0233,0.0935,0.204,98.379,18
5BgRSqd7xAhEfWgA9opde9,0.0,0.653,0.598,0.0,-9.179,1.0,0.037,0.0329,0.00196,0.0736,0.711,94.099,3
4F2lAgoxbcr3uMGatRU3vL,0.0,0.597,0.915,10.0,-3.298,0.0,0.152,0.235,0.0865,0.106,0.555,100.444,20
5kRBzRZmZTXVg8okC7SJFZ,0.0,0.588,0.742,8.0,-6.757,1.0,0.0528,0.0162,3.98e-06,0.653,0.824,125.819,17
55qBw1900pZKfXJ6Q9A2Lc,0.0,0.719,0.804,10.0,-4.581,1.0,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,17
7fI96JHMnvd3Ft70Zzv74G,0.0,0.617,0.721,11.0,-6.889,1.0,0.0305,0.00548,0.000637,0.0645,0.765,119.961,17
1ZlBHkvF6NgMuoXTbAvJT9,0.0,0.576,0.834,1.0,-4.807,1.0,0.0297,0.0678,0.0124,0.106,0.477,129.988,1
0Gz7fvtyF6cexngiMJqUVp,0.0,0.631,0.415,2.0,-7.426,0.0,0.0364,0.776,4.7e-06,0.106,0.338,134.212,1
4skuEIloXWuxxgekKupkEH,0.0,0.394,0.475,10.0,-7.935,1.0,0.028,0.0251,0.00749,0.112,0.441,129.995,17
4yT3NvbUee10msJkc0t35v,0.0,0.817,0.638,2.0,-8.15,0.0,0.0348,0.535,1.59e-06,0.131,0.829,89.038,13
6rxEjkoar48SssZePbtb2x,0.0,0.765,0.486,11.0,-12.379,0.0,0.0309,0.818,0.374,0.084,0.422,122.908,17
4kbz7rHVbyjKasuuqelccQ,0.0,0.512,0.531,5.0,-6.789,1.0,0.0402,0.33,3.5e-06,0.0811,0.302,169.951,8
0Sl8C9oeS3b5Kv9bSvTPDr,0.0,0.646,0.631,8.0,-10.748,0.0,0.0436,0.00462,0.288,0.122,0.167,109.02,6
17ahSrFGTLNAEAquP1P88n,0.0,0.615,0.836,7.0,-4.648,1.0,0.0419,0.0788,0.0,0.62,0.877,123.005,17
6AGh8CJ0jhJXmNgxzCH6P8,0.0,0.722,0.829,7.0,-7.571,1.0,0.0847,0.121,0.000119,0.128,0.542,100.0,20
